Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Enabling High Data Throughput in Desktop Grids through Decentralized Data and Metadata Management: The BlobSeer Approach","Euro-Par 2009 Parallel Processing","","","","10.1007/978-3-642-03869-3_40","Bogdan NicolaeGabriel AntoniuLuc Bougé","2009","http://link.springer.com/chapter/10.1007/978-3-642-03869-3_40","Chapter"
"Data Management","Microservices for the Enterprise","","","","10.1007/978-1-4842-3858-5_5","Kasun IndrasiriPrabath Siriwardena","2018","http://link.springer.com/chapter/10.1007/978-1-4842-3858-5_5","Chapter"
"A Blockchain-Based IoT Data Management System for Secure and Scalable Data Sharing","Network and System Security","","","","10.1007/978-3-030-36938-5_10","Yawei WangChenxu WangXiapu LuoKaixiang ZhangHuizhong Li","2019","http://link.springer.com/chapter/10.1007/978-3-030-36938-5_10","Chapter"
"The Case for Microservices","Microservices for the Enterprise","","","","10.1007/978-1-4842-3858-5_1","Kasun IndrasiriPrabath Siriwardena","2018","http://link.springer.com/chapter/10.1007/978-1-4842-3858-5_1","Chapter"
"PERSIST: Policy-Based Data Management Middleware for Multi-Tenant SaaS Leveraging Federated Cloud Storage","Journal of Grid Computing","","16","2","10.1007/s10723-018-9434-6","Ansar RafiqueDimitri Van LanduytWouter Joosen","2018","http://link.springer.com/article/10.1007/s10723-018-9434-6","Article"
"Decentralized Industrial IoT Data Management Based on Blockchain and IPFS","Advances in Production Management Systems. Towards Smart and Digital Manufacturing","","","","10.1007/978-3-030-57997-5_26","Xiaochen ZhengJinzhi LuShengjing SunDimitris Kiritsis","2020","http://link.springer.com/chapter/10.1007/978-3-030-57997-5_26","Chapter"
"Secure Data and Services Management in Distributed Structures and in the Cloud with Application of Blockchain Technologies","Mobile Internet Security","","","","10.1007/978-981-13-3732-1_8","Marek R. OgielaLidia Ogiela","2019","http://link.springer.com/chapter/10.1007/978-981-13-3732-1_8","Chapter"
"Design of a Blockchain-Driven System for Product Counterfeiting Restraint in the Supply Chain","Advances in Production Management Systems. Production Management for the Factory of the Future","","","","10.1007/978-3-030-30000-5_59","Sotiris P. GayialisEvripidis KechagiasGeorgios A. PapadopoulosGrigorios D. Konstantakopoulos","2019","http://link.springer.com/chapter/10.1007/978-3-030-30000-5_59","Chapter"
"GDIS: A Service-Based Architecture for Data Integration on Grids","On the Move to Meaningful Internet Systems 2004: OTM 2004 Workshops","","","","10.1007/978-3-540-30470-8_27","Carmela ComitoDomenico Talia","2004","http://link.springer.com/chapter/10.1007/978-3-540-30470-8_27","Chapter"
"A Decentralized Deployment Strategy and Performance Evaluation of LCG File Catalog Service","Journal of Grid Computing","","9","3","10.1007/s10723-010-9167-7","Víctor Méndez MuñozGabriel Amorós VicenteMohammed Kaci","2011","http://link.springer.com/article/10.1007/s10723-010-9167-7","Article"
"Gossip-based aggregation of trust in decentralized reputation systems","Autonomous Agents and Multi-Agent Systems","","19","2","10.1007/s10458-008-9073-6","Yoram BachrachAriel ParnesAriel D. ProcacciaJeffrey S. Rosenschein","2009","http://link.springer.com/article/10.1007/s10458-008-9073-6","Article"
"Towards a Methodology for Designing Micro-service Architectures Using μσADL","Business Modeling and Software Design","","","","10.1007/978-3-319-94214-8_33","Tasos PapapostoluDimitar Birov","2018","http://link.springer.com/chapter/10.1007/978-3-319-94214-8_33","Chapter"
"DHT-Based Self-adapting Replication Protocol for Achieving High Data Availability","Advanced Internet Based Systems and Applications","","","","10.1007/978-3-642-01350-8_19","Predrag KneževićAndreas WombacherThomas Risse","2009","http://link.springer.com/chapter/10.1007/978-3-642-01350-8_19","Chapter"
"Meta Data Repository","Encyclopedia of Database Systems","","","","10.1007/978-0-387-39940-9_909","Christoph Quix","2009","http://link.springer.com/referenceworkentry/10.1007/978-0-387-39940-9_909","ReferenceWorkEntry"
"Meta Data Repository","Encyclopedia of Database Systems","","","","10.1007/978-1-4899-7993-3_909-2","Christoph Quix","2016","http://link.springer.com/referenceworkentry/10.1007/978-1-4899-7993-3_909-2","ReferenceWorkEntry"
"Meta Data Repository","Encyclopedia of Database Systems","","","","10.1007/978-1-4614-8265-9_909","Christoph Quix","2018","http://link.springer.com/referenceworkentry/10.1007/978-1-4614-8265-9_909","ReferenceWorkEntry"
"Data Privacy – Problems and Solutions","Information Systems Security","","","","10.1007/978-3-540-77086-2_14","Sabrina De Capitani di VimercatiPierangela Samarati","2007","http://link.springer.com/chapter/10.1007/978-3-540-77086-2_14","Chapter"
"Highly Available DHTs: Keeping Data Consistency After Updates","Agents and Peer-to-Peer Computing","","","","10.1007/11925941_6","Predrag KneževićAndreas WombacherThomas Risse","2006","http://link.springer.com/chapter/10.1007/11925941_6","Chapter"
